model,layer,variant,stopped_epoch,mse,variance_explained,logitlens_acc,ce_id,ce_sae,ce_zero,loss_recovered
gpt2,0,hard,13,3.5474911691864537,-1.2740232976953356,0.8824801687394984,4.00259486601834,8.254658205697108,8.237494650120778,-0.004060122769827349
gpt2,1,hard,10,8.367685264986845,-0.24137498008534305,0.8684185438671057,4.002596989346178,8.827163255163219,8.429464096274822,-0.08993947485108184
gpt2,2,hard,13,81.97050134960892,0.03757152224191822,0.8608058026049756,4.00259486601834,9.448321378905016,14.384459755039583,0.4754463993868688
gpt2,3,hard,12,93.9952236377054,0.039354652645218105,0.8603053040925684,4.0026002242867085,14.608242162960678,18.596069742361582,0.27325416627089827
gpt2,4,hard,13,104.77738835482998,0.03734809260690741,0.8505078471016767,4.00259486601834,14.707012165005136,16.81828825552078,0.16471973312264274
gpt2,5,hard,7,112.57322451958557,0.03254412812991724,0.8246984099241705,4.002599431587005,11.2890091155715,14.17631565343015,0.28343514124830693
gpt2,6,hard,12,118.47038785739136,0.02393932236618466,0.7879117692622414,4.0026002242867085,14.618447756008592,14.20315563642138,-0.04085276030983395
gpt2,7,hard,9,124.12487318544294,0.00946913358014518,0.7597011308883054,4.002601334704225,15.14812224195277,11.876740855221408,-0.41572371500366123
gpt2,8,hard,14,130.6182364892285,-0.012774100397369847,0.7645174360176207,4.00259318806812,13.977374141733149,18.11819473982252,0.29330411831419495
gpt2,9,hard,7,141.52449336474191,-0.060629768430706284,0.7761540264310881,4.002599431587005,8.9957267250703,12.421527949048475,0.40693471762182554
gpt2,10,hard,18,174.71352639923043,-0.2527283184766505,0.799476859888222,4.0025934097225155,8.552600651061164,10.84654875175417,0.33516663353102943
gpt2,11,hard,15,230.00600788527748,-3.540858980260264,0.9526095436327453,4.002595252303904,47.26875343806279,8.349563862813959,-8.956980850418052
gpt2,0,plain,20,0.1465651401060905,0.9060798615680198,0.9029966355377778,4.002599898811619,4.058091339830361,8.23749393017431,0.9869013899923118
gpt2,1,plain,20,0.1841608936495652,0.9726426088292973,0.9127146483203509,4.002599898811619,4.087319956800262,8.42946340077547,0.9808688955128563
gpt2,2,plain,20,0.26561256459204263,0.9968703773848339,0.9027285113347024,4.002599898811619,4.09634884798099,14.384462590833152,0.9909720193168359
gpt2,3,plain,20,0.39726106291634344,0.9959254154443539,0.8881207075301193,4.002599898811619,4.111887004744437,18.59607504964558,0.9925123898905345
gpt2,4,plain,20,0.539414538182881,0.9950260729926705,0.8806211742648432,4.002599898811619,4.141402562901266,16.818284712463615,0.9891721994642776
gpt2,5,plain,20,0.7176444740305714,0.993810252654818,0.8688356259607783,4.002599898811619,4.140044434145811,14.176280457758812,0.9864898136235755
gpt2,6,plain,20,0.956176701543361,0.9920936684754703,0.858907086026161,4.002599898811619,4.158476893071993,14.203147728710052,0.984721506295182
gpt2,7,plain,20,1.3588984233720705,0.9891171562515825,0.8502754727923447,4.002599898811619,4.1581641600310215,11.876726213627814,0.9802490485001577
gpt2,8,plain,20,1.9825005256091561,0.9845768572299465,0.8424363155365066,4.002599898811619,4.185550485047604,18.11822084885456,0.9870433786877887
gpt2,9,plain,20,3.1076216045431977,0.9766404952401658,0.8430897441499271,4.002599898811619,4.200973466321813,12.421524996072772,0.9764405917284652
gpt2,10,plain,20,5.464605379209926,0.9607257760878855,0.8589567386563601,4.002599898811619,4.296026141198534,10.846552517809117,0.9571324777719871
gpt2,11,plain,20,9.34524327082405,0.8155005069276552,0.9383810859228835,4.002599898811619,4.478253968906056,8.349560694221772,0.890588741837595
gpt2,0,soft,20,0.1467665424823666,0.9058833458581212,0.9025318869191139,4.002592382249897,4.055318344489303,8.237495321834055,0.9875598906861439
gpt2,1,soft,20,0.18679196618094313,0.972229976654602,0.9120075948663152,4.002592382249897,4.085877323188612,8.42946122702202,0.9811978277874753
gpt2,2,soft,20,0.2695540273233085,0.9968214816685612,0.9021624713504324,4.002592382249897,4.099499904538667,14.38446293418,0.9906717146300109
gpt2,3,soft,20,0.40135078730444695,0.9958807659714368,0.8882736376311327,4.002592382249897,4.112800906946354,18.596075195582007,0.9924507061784431
gpt2,4,soft,20,0.5432789476164646,0.9949877178964597,0.8817314070760957,4.002592382249897,4.140734181453303,16.818287640863403,0.9892237001140579
gpt2,5,soft,20,0.7228097933365145,0.9937626956392063,0.8673440609495966,4.002592382249897,4.14214791753354,14.176288291534043,0.9862843202767034
