model,variant,n_layers,mse_mean,mse_std,variance_explained_mean,variance_explained_std,logitlens_acc_mean,logitlens_acc_std,loss_recovered_mean,loss_recovered_std,ce_sae_mean,ce_sae_std
gpt2,hard,12,110.39075328976799,62.53332340249223,-0.43351354948128157,1.0461035714627236,0.832298903537518,0.057483822393685435,-0.6062746678213908,2.6418214112776357,14.641285936432617,10.647224714402462
gpt2,plain,12,2.0388087148816045,2.7757527366997903,0.9649174207572249,0.05345893439023801,0.8790053121693963,0.030522431087171963,0.9752577043851307,0.02825795730226409,4.176044938415012,0.11354412200418681
gpt2,soft,12,2.0435825249608803,2.781724500757339,0.9648087951875995,0.053550388585506564,0.8782916383646674,0.0313734488189692,0.97548673901424,0.027942488269655907,4.174717786866293,0.1116652889264446
llama,hard,32,0.6719708468069657,0.23598652583928317,-0.021091108384952737,0.058073038224602753,0.008691309315871684,0.008606673140298348,0.03178485728654854,0.10144653247647428,11.461467102240047,0.9186291231240041
llama,plain,32,0.05742063244021949,0.09642621170363158,0.9308304124421671,0.09135710311738397,0.35109469138818566,0.09311779637522095,0.9059105801160565,0.07543895596701577,3.5480109637233115,0.6836626123981885
llama,soft,32,0.05745248114982275,0.09651266648889995,0.9308278928737547,0.09137578196830086,0.3512363204153554,0.09286721334201122,0.9060587813016007,0.07430464735641991,3.5466681001145295,0.6735053235545819
